source,case_id,time,loss,output_increment_l2,max_depth_gram_increment_fro
PDE,C2,5.88,4.6077291245256144e-17,1.031988368493231,0.5470046342863185
PDE,C2,5.92,3.657095679945834e-17,1.031988368924137,0.5470046346462435
PDE,C2,5.96,2.902982071032102e-17,1.0319883693021075,0.5470046349615644
PDE,C2,6.0,2.3046693218675665e-17,1.0319883696336916,0.5470046352378448
PDE,C2,6.04,1.8298983444712636e-17,1.031988369924622,0.5470046354799499
PDE,C2,6.08,1.4531050660159766e-17,1.03198837017992,0.5470046356921341
PDE,C2,6.12,1.1540293000633973e-17,1.0319883704039812,0.5470046358781195
PDE,C2,6.16,9.1660929122566e-18,1.031988370600655,0.5470046360411627
PDE,C2,6.2,7.28110633097377e-18,1.031988370773315,0.5470046361841129
PDE,C2,6.24,5.784347662657244e-18,1.0319883709249147,0.5470046363094629
PDE,C2,6.28,4.5957178593293094e-18,1.0319883710580424,0.5470046364193948
PDE,C2,6.32,3.651680619297744e-18,1.031988371174966,0.5470046365158181
PDE,C2,6.36,2.9018222710495975e-18,1.031988371277673,0.5470046366004047
PDE,C2,6.4,2.3061414833005274e-18,1.031988371367905,0.5470046366746175
PDE,C2,6.44,1.8328910149699024e-18,1.0319883714471898,0.5470046367397392
PDE,C2,6.48,1.4568726884316614e-18,1.0319883715168654,0.5470046367968899
PDE,C2,6.5200000000000005,1.1580819763738558e-18,1.031988371578106,0.5470046368470536
PDE,C2,6.5600000000000005,9.206368920721108e-19,1.031988371631941,0.5470046368910896
PDE,C2,6.6000000000000005,7.319262660382631e-19,1.0319883716792728,0.5470046369297531
PDE,C2,6.640000000000001,5.819365406654329e-19,1.0319883717208935,0.5470046369637052
PDE,C2,6.68,4.627126797249635e-19,1.0319883717574976,0.5470046369935221
PDE,C2,6.72,3.679374041571074e-19,1.0319883717896952,0.5470046370197132
PDE,C2,6.76,2.9259165839387257e-19,1.0319883718180205,0.5470046370427222
PDE,C2,6.8,2.326885063263106e-19,1.031988371842943,0.5470046370629382
PDE,C2,6.84,1.850592857019442e-19,1.031988371864876,0.5470046370807042
PDE,C2,6.88,1.4718714247780019e-19,1.0319883718841798,0.5470046370963181
PDE,C2,6.92,1.17071298629435e-19,1.031988371901173,0.5470046371100437
PDE,C2,6.96,9.312188732514181e-20,1.031988371916134,0.5470046371221103
PDE,C2,7.0,7.407531746825375e-20,1.0319883719293084,0.5470046371327206
PDE,C2,7.04,5.89270590565691e-20,1.031988371940911,0.5470046371420518
PDE,C2,7.08,4.6878678056184435e-20,1.0319883719511307,0.5470046371502593
PDE,C2,7.12,3.729508555596795e-20,1.0319883719601346,0.5470046371574794
PDE,C2,7.16,2.967199136412755e-20,1.0319883719680676,0.5470046371638326
PDE,C2,7.2,2.3607933279315176e-20,1.0319883719750584,0.5470046371694216
PDE,C2,7.24,1.878387624686652e-20,1.0319883719812202,0.5470046371743423
PDE,C2,7.28,1.4946095619873823e-20,1.0319883719866523,0.5470046371786732
PDE,C2,7.32,1.1892812191991854e-20,1.0319883719914413,0.5470046371824857
PDE,C2,7.36,9.463577935566992e-21,1.0319883719956642,0.5470046371858436
PDE,C2,7.4,7.530793060635965e-21,1.0319883719993885,0.5470046371887999
PDE,C2,7.44,5.99295616331704e-21,1.0319883720026735,0.5470046371914038
PDE,C2,7.48,4.769259335911658e-21,1.0319883720055716,0.5470046371936973
PDE,C2,7.5200000000000005,3.795552199542215e-21,1.0319883720081289,0.5470046371957197
PDE,C2,7.5600000000000005,3.0207123422403596e-21,1.0319883720103855,0.5470046371974999
PDE,C2,7.6000000000000005,2.404119644578729e-21,1.031988372012377,0.5470046371990697
PDE,C2,7.640000000000001,1.913451630590231e-21,1.0319883720141354,0.5470046372004541
PDE,C2,7.68,1.5229293124814427e-21,1.0319883720156877,0.5470046372016737
PDE,C2,7.72,1.212173761924707e-21,1.0319883720170586,0.5470046372027495
PDE,C2,7.76,9.6483914533917e-22,1.0319883720182688,0.547004637203698
PDE,C2,7.8,7.6798110044217015e-22,1.0319883720193381,0.5470046372045351
PDE,C2,7.84,6.113007067981203e-22,1.031988372020283,0.547004637205273
PDE,C2,7.88,4.866023948516989e-22,1.0319883720211174,0.5470046372059243
PDE,C2,7.92,3.8734106156163063e-22,1.0319883720218548,0.5470046372064994
PDE,C2,7.96,3.0834128841003385e-22,1.0319883720225063,0.5470046372070062
PDE,C2,8.0,2.454543923129297e-22,1.0319883720230825,0.5470046372074542
PDE,C4,0.0,0.5325000000000001,0.0,0.0
PDE,C4,0.04,0.44652594748246643,0.08697414236339068,0.004274189217826897
PDE,C4,0.08,0.3740954200579035,0.16700814653886903,0.015682629403356317
PDE,C4,0.12,0.3128635721742724,0.24095936943714377,0.03239094478007182
PDE,C4,0.16,0.2610054410910143,0.30948564999650435,0.052910113275986624
PDE,C4,0.2,0.2170971127796325,0.373055292070279,0.07602622444152195
PDE,C4,0.24,0.17999767390554283,0.4319943805931365,0.10074093689793137
PDE,C4,0.28,0.14873699815439592,0.4865803990646259,0.1262623863287542
PDE,C4,0.32,0.12247374223117019,0.5370727258643402,0.15197733684832357
PDE,C4,0.36,0.10048594230844499,0.5836982573020901,0.1774030406443275
PDE,C4,0.4,0.08215233969432373,0.6266550562272852,0.20216104758451964
PDE,C4,0.44,0.06693168263812552,0.6661300814117751,0.22596811103588432
PDE,C4,0.48,0.05434995022562237,0.7023103331305877,0.24862473858211998
PDE,C4,0.52,0.04399343529577194,0.7353848090358729,0.2699995372017687
PDE,C4,0.56,0.03550340652293308,0.7655431995743701,0.2900148850653048
PDE,C4,0.6,0.02857084930227945,0.7929744782921219,0.3086357195280094
PDE,C4,0.64,0.022931282256364156,0.8178656938323126,0.32586060879788115
PDE,C4,0.68,0.01835980546704745,0.8404007053043024,0.34171424045544635
PDE,C4,0.72,0.014666429889118574,0.8607588228106466,0.35624098506372953
PDE,C4,0.76,0.011691698402599064,0.8791134726918312,0.36949944976821314
PDE,C4,0.8,0.009302616639960468,0.8956310124062467,0.38155796596186464
PDE,C4,0.84,0.007388919436341746,0.9104697681400168,0.3924909226133025
PDE,C4,0.88,0.005859694386376272,0.9237793203014426,0.40237583708768865
PDE,C4,0.92,0.004640372135965831,0.9357000325173754,0.4112910559031234
PDE,C4,0.96,0.003670079759120547,0.9463628043727699,0.41931398805968617
PDE,C4,1.0,0.0028993422157145995,0.955889020669545,0.42651978513793126
PDE,C4,1.04,0.0022881085606370703,0.9643906666999401,0.4329803924650217
PDE,C4,1.08,0.0018040742725551812,0.9719705782863098,0.43876390432278123
PDE,C4,1.12,0.0014212683691438683,0.9787227963972446,0.44393416410649933
PDE,C4,1.16,0.0011188733390088182,0.9847329985122008,0.44855055796773763
PDE,C4,1.2,0.000880246814792061,0.9900789821119915,0.4526679578626951
PDE,C4,1.24,0.0006921158542250074,0.9948311792954663,0.4563367769524072
PDE,C4,1.28,0.0005439172778220983,0.9990531852152724,0.45960310678781674
PDE,C4,1.32,0.0004272604090022773,1.0028022865377535,0.46250891152588086
PDE,C4,1.36,0.00033549153279036585,1.0061299793085539,0.46509225949284966
PDE,C4,1.4000000000000001,0.0002633422648847988,1.009082468368811,0.46738757672980485
PDE,C4,1.44,0.00020664669703721947,1.0117011427954488,0.46942591076077184
PDE,C4,1.48,0.00016211459818942056,1.0140230237483845,0.4712351957803005
PDE,C4,1.52,0.00012715007923460743,1.0160811826341671,0.47284051284359446
PDE,C4,1.56,9.970697207884027e-05,1.0179051286865257,0.47426434053964583
PDE,C4,1.6,7.81737455747644e-05,1.019521165969584,0.47552679311471724
PDE,C4,1.6400000000000001,6.128210534220469e-05,1.0209527204772924,0.47664584416135447
PDE,C4,1.68,4.803452906758919e-05,1.022220638477281,0.477637534860074
