configuration,level_index,level_label,level_name,node,proxy_kernel,neural_reference,neural_ci99_lower,neural_ci99_upper,signed_log_error,signed_log_error_ci99_lower,signed_log_error_ci99_upper,absolute_log_error,absolute_log_error_ci99_lower,absolute_log_error_ci99_upper,previous_level,transition_margin,transition_margin_ci99_lower,transition_margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves_vs_previous
M,4,M4,gauss_2node_4moments_lower,0.95,304.3754908647018,291.9538478493785,278.9200302063214,305.59673039977406,0.04166637206684888,-0.005080261498062563,0.08381925452953247,0.04166637206684888,0.0020992255830978757,0.08381925452953247,M3,0.0008384418755105413,-0.0008384418755105957,0.0008384418755108085,0.9915,True
V,0,M0,ntk_0moments_lower,0.5,36.75,53.051986801164844,50.54523093043941,55.683063500576644,-0.3671340901827006,-0.4147701705288888,-0.32193293835309506,0.3671340901827006,0.32193293835309517,0.41477017052888887,,,,,,
V,0,M0,ntk_0moments_lower,0.75,36.75,72.26878105934057,69.61433704280562,75.02444090778936,-0.67625401301173,-0.7129910998770829,-0.6410759155211222,0.67625401301173,0.6410759155211223,0.7129910998770829,,,,,,
V,0,M0,ntk_0moments_lower,0.9,36.75,86.72183207878132,83.83903232757325,89.70375671460275,-0.8585674381790426,-0.8910522984694065,-0.8267224715984831,0.8585674381790426,0.8267224715984832,0.8910522984694066,,,,,,
V,0,M0,ntk_0moments_lower,0.95,36.75,92.0606834083415,89.09923230992744,95.12056624831966,-0.9183097362128141,-0.9491934552906728,-0.8877474446168108,0.9183097362128141,0.8877474446168109,0.9491934552906729,,,,,,
V,1,M1,zero_radau_1node_1moments_upper,0.5,55.74597389976399,53.051986801164844,50.54523093043941,55.683063500576644,0.04953287484631339,0.0018967945001252143,0.09473402667591896,0.04953287484631339,0.003915845195545384,0.09473402667591896,M0,0.3176012153363872,0.2271989116771763,0.4128733760287636,1.0,True
V,1,M1,zero_radau_1node_1moments_upper,0.75,79.49094127446898,72.26878105934057,69.61433704280562,75.02444090778936,0.09525083026425064,0.05851374339889795,0.13042892775485848,0.09525083026425064,0.05851374339889795,0.13042892775485848,M0,0.5810031827474794,0.5106469877662639,0.654477356478185,1.0,True
V,1,M1,zero_radau_1node_1moments_upper,0.9,98.29695543523533,86.72183207878132,83.83903232757325,89.70375671460275,0.12528739066096986,0.09280253037060583,0.15713235724152916,0.12528739066096986,0.09280253037060583,0.15713235724152916,M0,0.7332800475180727,0.669590114356954,0.7982497680988008,1.0,True
V,1,M1,zero_radau_1node_1moments_upper,0.95,105.325465778148,92.0606834083415,89.09923230992744,95.12056624831966,0.13460726827795022,0.10372354920009152,0.16516955987395346,0.13460726827795022,0.10372354920009152,0.16516955987395346,M0,0.7837024679348639,0.7225778847428574,0.8454699060905814,1.0,True
V,2,M2,gauss_1node_2moments_lower,0.5,54.279118940331955,53.051986801164844,50.54523093043941,55.683063500576644,0.022867287238263288,-0.02476879310792486,0.06806843906786875,0.022867287238263288,0.00024830986677325267,0.06806843906786875,M1,0.026665587608050104,-0.02287199860779965,0.026665587608050278,0.97465,True
V,2,M2,gauss_1node_2moments_lower,0.75,72.71867476369525,72.26878105934057,69.61433704280562,75.02444090778936,0.006205987211019195,-0.030531099654333496,0.041384084701627064,0.006205987211019195,7.721533247939532e-05,0.041764848585935745,M1,0.08904484305323145,0.02798264374456445,0.08904484305323157,0.99985,True
V,2,M2,gauss_1node_2moments_lower,0.9,85.16921835639502,86.72183207878132,83.83903232757325,89.70375671460275,-0.018065582179224753,-0.05055044246958875,0.01377938440133461,0.018065582179224753,0.0002698376100360171,0.05055044246958878,M1,0.1072218084817451,0.042252087901017074,0.1433529728401947,0.99995,True
V,2,M2,gauss_1node_2moments_lower,0.95,89.4157460712897,92.0606834083415,89.09923230992744,95.12056624831966,-0.02915116465001677,-0.06003488372787552,0.0014111269459864755,0.02915116465001677,0.0013674892435874527,0.060034883727875576,M1,0.10545610362793345,0.04368866547221601,0.16375843292796702,0.99995,True
V,3,M3,zero_radau_2node_3moments_upper,0.5,54.57737099157795,53.051986801164844,50.54523093043941,55.683063500576644,0.02834703029718221,-0.019289050049005947,0.07354818212678774,0.02834703029718221,0.0003535718759557967,0.07354818212678774,M2,-0.005479743058918924,-0.0054797430589191495,0.00547974305891902,0.0825,False
V,3,M3,zero_radau_2node_3moments_upper,0.75,75.04631576979952,72.26878105934057,69.61433704280562,75.02444090778936,0.03771322786148005,0.0009761409961272896,0.07289132535208782,0.03771322786148005,0.0024651984795423334,0.07289132535208782,M2,-0.03150724065046086,-0.03150724065046105,0.029554958658206287,0.0648,False
V,3,M3,zero_radau_2node_3moments_upper,0.9,90.59729327225836,86.72183207878132,83.83903232757325,89.70375671460275,0.04371867318262386,0.011233812892259925,0.07556363976318345,0.04371867318262386,0.011279465124139236,0.07556363976318345,M2,-0.025653091003399107,-0.06178425536184885,0.039316629577328885,0.17705,False
V,3,M3,zero_radau_2node_3moments_upper,0.95,96.32066639088558,92.0606834083415,89.09923230992744,95.12056624831966,0.04523493817494307,0.014351219097084282,0.07579722977094631,0.04523493817494307,0.014351219097084282,0.07579722977094631,M2,-0.0160837735249263,-0.07438610282495982,0.04568366463079135,0.29455,False
V,4,M4,gauss_2node_4moments_lower,0.5,54.55019556940897,53.051986801164844,50.54523093043941,55.683063500576644,0.02784898157150966,-0.019787098774678533,0.07305013340111512,0.02784898157150966,0.00033816711481773177,0.07305013340111512,M3,0.0004980487256725508,-0.0004980487256726514,0.0004980487256727763,0.9371,True
V,4,M4,gauss_2node_4moments_lower,0.75,74.68157358185253,72.26878105934057,69.61433704280562,75.02444090778936,0.032841150775231816,-0.003895936090120901,0.06801924826583958,0.032841150775231816,0.001239869624236289,0.06801924826583958,M3,0.004872077086248233,-0.0029197950939936117,0.00487207708624849,0.9929,True
V,4,M4,gauss_2node_4moments_lower,0.9,89.54977706861638,86.72183207878132,83.83903232757325,89.70375671460275,0.0320889752030468,-0.000395885087317097,0.06393394178360637,0.0320889752030468,0.0016276608932884054,0.06393394178360637,M3,0.01162969797957706,0.010837927804942827,0.011629697979577316,0.9988,True
V,4,M4,gauss_2node_4moments_lower,0.95,94.90842906977835,92.0606834083415,89.09923230992744,95.12056624831966,0.03046456034552086,-0.00041915873233783435,0.06102685194152416,0.03046456034552086,0.0015672138279610153,0.06102685194152416,M3,0.01477037782942221,0.013932060364746448,0.014770377829422338,0.99925,True
V,5,M5,zero_radau_3node_5moments_upper,0.5,54.55514576853894,53.051986801164844,50.54523093043941,55.683063500576644,0.02793972321756773,-0.019696357128620418,0.07314087504717337,0.02793972321756773,0.0003564746568876258,0.07314087504717337,M4,-9.074164605806997e-05,-9.07416460583059e-05,9.074164605817753e-05,0.0643,False
V,5,M5,zero_radau_3node_5moments_upper,0.75,74.79734124167425,72.26878105934057,69.61433704280562,75.02444090778936,0.03439010078071787,-0.0023469860846349762,0.06956819827132564,0.03439010078071787,0.0014233334746476195,0.06956819827132564,M4,-0.0015489500054860564,-0.0015489500054861952,0.0015489500054859974,0.0101,False
V,5,M5,zero_radau_3node_5moments_upper,0.9,89.95886042492512,86.72183207878132,83.83903232757325,89.70375671460275,0.03664679559768231,0.004161935307318529,0.06849176217824177,0.03664679559768231,0.004616759087581647,0.06849176217824177,M4,-0.004557820394635509,-0.004557820394635741,-0.0037660502200013712,0.0027,False
V,5,M5,zero_radau_3node_5moments_upper,0.95,95.49175326205334,92.0606834083415,89.09923230992744,95.12056624831966,0.03659192860943752,0.005708209531578855,0.0671542202054407,0.03659192860943752,0.005742377948536076,0.0671542202054407,M4,-0.006127368263916657,-0.006127368263916803,-0.005289050799240906,0.0023,False
