source,case_id,fractional_loss_progress,depth_index,depth_fraction,gram_increment_fro,progress_path_scale,terminal_loss_reduction_fraction
PDE,C0,0.17,1,0.0625,0.003911265698909111,0.4853351268197654,1.0
PDE,C0,0.17,2,0.125,0.004217860691942983,0.4853351268197654,1.0
PDE,C0,0.17,3,0.1875,0.00452926423400857,0.4853351268197654,1.0
PDE,C0,0.17,4,0.25,0.004845479506809503,0.4853351268197654,1.0
PDE,C0,0.17,5,0.3125,0.0051665097213825575,0.4853351268197654,1.0
PDE,C0,0.17,6,0.375,0.005492358118129182,0.4853351268197654,1.0
PDE,C0,0.17,7,0.4375,0.005823027966841218,0.4853351268197654,1.0
PDE,C0,0.17,8,0.5,0.006158522566728397,0.4853351268197654,1.0
PDE,C0,0.17,9,0.5625,0.006498845246444613,0.4853351268197654,1.0
PDE,C0,0.17,10,0.625,0.006843999364118753,0.4853351268197654,1.0
PDE,C0,0.17,11,0.6875,0.007193988307381984,0.4853351268197654,1.0
PDE,C0,0.17,12,0.75,0.007548815493394704,0.4853351268197654,1.0
PDE,C0,0.17,13,0.8125,0.0079084843688768,0.4853351268197654,1.0
PDE,C0,0.17,14,0.875,0.008272998410136,0.4853351268197654,1.0
PDE,C0,0.17,15,0.9375,0.008642361123096862,0.4853351268197654,1.0
PDE,C0,0.17,16,1.0,0.009016576043330404,0.4853351268197654,1.0
PDE,C0,0.18,0,0.0,0.003821798226190183,0.4853351268197654,1.0
PDE,C0,0.18,1,0.0625,0.004141340151786238,0.4853351268197654,1.0
PDE,C0,0.18,2,0.125,0.004465970144410223,0.4853351268197654,1.0
PDE,C0,0.18,3,0.1875,0.004795691541891443,0.4853351268197654,1.0
PDE,C0,0.18,4,0.25,0.005130507713092375,0.4853351268197654,1.0
PDE,C0,0.18,5,0.3125,0.005470422057934367,0.4853351268197654,1.0
PDE,C0,0.18,6,0.375,0.0058154380074309075,0.4853351268197654,1.0
PDE,C0,0.18,7,0.4375,0.006165559023714272,0.4853351268197654,1.0
PDE,C0,0.18,8,0.5,0.006520788600065326,0.4853351268197654,1.0
PDE,C0,0.18,9,0.5625,0.006881130260941317,0.4853351268197654,1.0
PDE,C0,0.18,10,0.625,0.007246587562008027,0.4853351268197654,1.0
PDE,C0,0.18,11,0.6875,0.007617164090169195,0.4853351268197654,1.0
PDE,C0,0.18,12,0.75,0.00799286346359448,0.4853351268197654,1.0
PDE,C0,0.18,13,0.8125,0.008373689331751859,0.4853351268197654,1.0
PDE,C0,0.18,14,0.875,0.008759645375438082,0.4853351268197654,1.0
PDE,C0,0.18,15,0.9375,0.009150735306808405,0.4853351268197654,1.0
PDE,C0,0.18,16,1.0,0.009546962869408766,0.4853351268197654,1.0
PDE,C0,0.19,0,0.0,0.0040341203498675095,0.4853351268197654,1.0
PDE,C0,0.19,1,0.0625,0.00437141460466317,0.4853351268197654,1.0
PDE,C0,0.19,2,0.125,0.004714079596877374,0.4853351268197654,1.0
PDE,C0,0.19,3,0.1875,0.005062118849774265,0.4853351268197654,1.0
PDE,C0,0.19,4,0.25,0.005415535919375249,0.4853351268197654,1.0
PDE,C0,0.19,5,0.3125,0.005774334394486374,0.4853351268197654,1.0
PDE,C0,0.19,6,0.375,0.006138517896732635,0.4853351268197654,1.0
PDE,C0,0.19,7,0.4375,0.006508090080587238,0.4853351268197654,1.0
PDE,C0,0.19,8,0.5,0.006883054633402306,0.4853351268197654,1.0
PDE,C0,0.19,9,0.5625,0.007263415275438047,0.4853351268197654,1.0
PDE,C0,0.19,10,0.625,0.0076491757598974265,0.4853351268197654,1.0
PDE,C0,0.19,11,0.6875,0.008040339872956263,0.4853351268197654,1.0
PDE,C0,0.19,12,0.75,0.00843691143379423,0.4853351268197654,1.0
PDE,C0,0.19,13,0.8125,0.008838894294627007,0.4853351268197654,1.0
PDE,C0,0.19,14,0.875,0.0092462923407402,0.4853351268197654,1.0
PDE,C0,0.19,15,0.9375,0.00965910949052006,0.4853351268197654,1.0
PDE,C0,0.19,16,1.0,0.010077349695486933,0.4853351268197654,1.0
PDE,C0,0.2,0,0.0,0.004246442473544705,0.4853351268197654,1.0
PDE,C0,0.2,1,0.0625,0.00460148905754019,0.4853351268197654,1.0
PDE,C0,0.2,2,0.125,0.004962189049344686,0.4853351268197654,1.0
PDE,C0,0.2,3,0.1875,0.005328546157657138,0.4853351268197654,1.0
